userName,score,at,content
Muhamad Fahri Afarizi,5,2025-08-26 02:37:02,tolong dong buatkan fitur untuk menghapus penyimpanan memori hp di file quest yang sudah selesai karna menurut saya ini game file nya terlalu besar jika dibiarkan
Deni Osamu,3,2025-08-26 00:32:02,masih aga berat buat device mid low
Atha Darmawan,5,2025-08-25 19:21:08,"hayoyo kuro,kenapa gamenya di hp ane black screen nih,lebih tepatnya pas selesain quest cerita changli,di akhir scene setelah selesai malah black screen,ada suara doang, cache udah di bersihin, apalagi ini,gimana cuy,padahal lainnya lancar loh"
aldito lathif hidayat,5,2025-08-25 19:03:12,good game
Ibnu Azmi,5,2025-08-25 18:56:23,overall gamenya bagus dan yaa sangat cocok untuk dimainkan dan game juga sangat banyak menguntungkan player² tapi saya agak sulit berinteraksi karna sedikit pemahaman saya dalam bahasa inggris jadi setengah² ngertinya hanya saja kalo bisa ditambahkan fitur bahasa Indonesia sangat rekom Dev tolong di liat ya Dev kalo ada kemungkinan ada sangat membantu
May,1,2025-08-25 16:12:14,"game nya bagus, story jg berkembang tapi tiap sinyal jelek langsung ngecrash & lag padahal hp aman aman aja. rata kanan jg lancar eh pas sinyal merah langsung ngeblank rusak. kutanyain ke tmn yg pny laptop bagus jg kejadian hal sama, tolonglah.."
Hitori- Gotoh,5,2025-08-25 16:10:33,"Wow Nggak Nyangka kalau gamenya sebagus ini nggak kayak game sebelah,di game ini di device ku nggak terlalu barat nggak kayak game yang sebelah tp boleh lah dimainkan saat waktu luang,nggak cuma gameplay saja yang menarik karakternya juga sangat amat menarik dan penting di game ini saya sangat rekomended banget buat yang penget main game story enough yapping aku rating game ini 8,5/10 lah"
Fadil Bayangan,5,2025-08-25 15:51:39,Peak
Fadil .R,1,2025-08-25 13:22:45,"jujur menurut gua smua udh lengkap, ini game gua g pduli! mau itu GB nya besar atau kecil kalo itu termasuk berpengaruh terhadap game gua maklumi tapi banyak beberapa yang gua permasalahin contoh nya bhs, come on kuro game klo emng bner² niat ingin memprbesar game ini coba lah kasih banyak bahasa ny g semua orang bisa bhs Inggris mungkin kpd player windows lebih tepatnya karena mudah dalam terjemahan tapi lihat juga player mobile mereka beberapa kesusahan untuk menerjemahkan bhs subtitle trsbut"
Arung Arg,5,2025-08-25 13:19:33,"game baik, game baik, terbaik, support terus gaskan terus🤟🤟🤟🤟🤟"
Hidaya Shelby,5,2025-08-25 13:17:37,makasihh....
Zaki Alfarizi,5,2025-08-25 12:56:44,butuh subtitle Indonesia
Azrael,2,2025-08-25 12:32:46,"always force close even though the chipset I'm using is still considered good, the chipset I'm using (8100U)"
sri waryanti,5,2025-08-25 10:23:35,ceritanya sangat epic kuro🔥🔥🔥
NIZAM LIDDINI,1,2025-08-25 09:11:04,tolong tambahkan bahasa Indonesia
DanzZ,5,2025-08-25 08:05:36,"keren grafiknya, bagus gameplay nya, gak nyesel main 🗿"
Achmad,1,2025-08-25 07:08:24,Tidak tersedia Bahasa Indonesia
Rifki Maulana,3,2025-08-25 06:59:23,tolong tambahin bahasa Indonesia
Rexam,5,2025-08-25 03:39:10,N ice
Baiq Soleha,1,2025-08-25 01:08:08,"gameplay nya bagus, design char nya bagu, grafik bagus, taoi design char cewe over sexual, ga terlalu nyaman liatnya. game nya juga terlalu berat, pake device yang udh di rekomendasikan juga ttp aja lag parah. render nya juga lama, pas loading screen terlalu lama."
Infinix X6812B,5,2025-08-24 22:17:51,tolong tambahkan bahasa Indonesia 🙏
Imam Al-hafiz,5,2025-08-24 22:03:22,awesome
Hafith Ryan,5,2025-08-24 19:54:32,mantap
Zed Zero,5,2025-08-24 19:23:07,I love kurogames
Muhammad Fathi Rafa,5,2025-08-24 18:27:17,"game yang sangat bagus, dan maaf review sebelum nya(◞‸◟ㆀ)"
Ardhika Dwi,5,2025-08-24 16:08:18,absolute cinema
Rifxi Kurniawan,5,2025-08-24 16:02:35,mantullll
シャロンMirabilis,5,2025-08-24 14:44:36,BAIK BANGET JIRR
Ibnu Kharis,3,2025-08-24 14:33:22,nice experience but i didn't get the 70++ free pull as the ad say
Afi,5,2025-08-24 13:20:44,gamedev the best selalu dengerin pemainnya
M Gilang P,5,2025-08-24 12:23:41,Game yang bagus
Giyan Tara93,5,2025-08-24 12:19:53,mantap kuro
Makayla Zhifara Hanania,5,2025-08-24 10:48:13,great graphics karakter nya cakep2 cuy
Andi Setiawan,2,2025-08-24 09:22:56,Baru aja download gamenya itu. Astagfirullah loginnya lama bet Ya Allah
Gilang Aksan,5,2025-08-24 08:56:40,"Semangat terus untuk tim kuro game, add Indonesian subtitles"
Revan Raasyit Alfarazi,5,2025-08-24 02:58:15,tambahkan subtitle Indonesia
Fatkhur Rozaq,5,2025-08-24 02:06:28,weel played aku kasih bintang satu karena aku nguli 3 bulan 10456 satrird kalah rate off di cartethiya pity 75 dapet jianxing emang game gacha itu buang buang waktu ku aja dasarnya ya sudah lah
Naviel,5,2025-08-24 01:52:26,"Ok nice. Story banyak banget peningkatan, QoL makin banyak. Kalo di device saya sih ok aja di High 60fps, walopun gak bisa 60 rata, rata-rata di 54. Hard pity paling mentok di 70, tapi gak masalah. Toh event end game juga banyak kasih Astrite, asal gak skill issue aja. Cuman bagian analog kadang kurang responsif. Belajar B.Inggris woy yang ngeluh gak ngerti bahasa Inggris, elah. Yang ngeluh lag, hp anda kentang, sadar diri tolong. Yang ngeluh event susah, skill anda sangat kurang."
Alfi an,5,2025-08-24 00:37:15,"Dear Kuro, mohon di tambah material untuk tuning echos karena susah sekali dapat stat bagus"
Dian Pardiyansah,5,2025-08-23 18:50:33,ADVENTURE 100% SAYA SANGAT MENYUKAI NYA
Mordred Pendragon,4,2025-08-23 16:00:10,"dari segi gameplay maupun storynya sudh bagus hanya saja lama kelamaan gamenya menjadi tidak ramah dengan device saat ini dimana sering terjadi lag saat combat maupun teleportasi ke beacon, tolong untuk kuro game Dev segera di tindaklanjuti kestabilan device dengan ram besar maupun yang sedang"
Marcus Toisuta,5,2025-08-23 15:49:29,keren
Muhamad Agung Santoso,5,2025-08-23 15:17:10,ahhhhhh
Herobrine angga,5,2025-08-23 14:32:18,"Game ini sangat bagus dari alur cerita, gameplay, grafik game, disain karakter menurut ku luar biasa, cuma ada satu kendala yaitu. saat update Patch sering terjadi bug yang kurang mengenakkan 🙏, mohon agar bug bug saat update patch tidak terjadi lagi, itu sangat menggangu gameplay, mohon maaf jika ada salah perkataan 🙏🙏😁"
Sri Lestari,5,2025-08-23 13:12:49,game bagus saya mainkan selama satu tahun terahir
M. ADHITYA FADIL,5,2025-08-23 11:08:55,absolute cinema
Fauzi Alghifari,1,2025-08-23 10:12:38,"RNG perusak game, game terlalu grindy dan menghabiskan banyak waktu terutama pada reroll echo tolong lakukan penyesuaian atau hapus saja rng saat reroll echo tiap hari login reroll ampas gitu aja terus"
ikhsan fajar,5,2025-08-23 09:02:12,kereen
Rezky Miftady,5,2025-08-23 08:50:22,game yang sangat seru
Yudika Valentino,5,2025-08-23 08:08:45,"gamenya unik, aku cinta kuro game"
Moreno Reno,5,2025-08-23 07:38:10,changlii😍
Tika Lya,5,2025-08-23 06:17:04,greatest game that I have been playing ❤️ always do the best kurogame.
yeni wulansari,5,2025-08-23 05:06:31,lumanya bagus
Ganisgandreas,3,2025-08-23 04:48:13,"aduhhh developer kenapa gak ada bahasa Indonesia nya sihh😭 , pengen main jadi kehalang bahasa jadi males mainnya gegara gak bisa nikmatin storynya"
nauvan aminn,1,2025-08-23 04:42:55,tulisan teks nya tidak ada/terdaftar bahasa Indonesia😞
Cheese Is good,5,2025-08-23 02:45:23,yes i love you
Vairus Valentine,5,2025-08-23 02:15:07,TOLONG KURO RERUN KAN chatreryia LAGI!!!!
Bhastian Dharma,5,2025-08-23 01:35:46,"good job kuro, improve lagi gamenya👍"
Naaad.,5,2025-08-22 23:47:44,overall game nya bagus tapi please kalo bisa tambahin bahasa Indonesia biar lebih ngerti tentang Lore nya
Yozora,5,2025-08-22 17:02:53,absolute cinema
Vito Akram Ziyad,5,2025-08-22 17:00:12,shorekeeper waifu gw
Riki Setiawan,1,2025-08-22 16:10:51,"""DI RAM 4 GB ROM 64 GB MASIH + NGEHANG +NGELAG + DAN +NGEBUG."""
Irfan Twentyseven,4,2025-08-22 16:04:02,kok grafik iqoo 9 menurun
Sofwan417 (Sofwan),2,2025-08-22 15:23:24,"anehhhh,,,udah level 18,malah suruh login email ulang,,abis itu malah mulai ulang dari awal lagi"
Agung Wicaksono,5,2025-08-22 14:37:09,kereeeeennnn bangeeettt game nyaaaaa
anak kuat,5,2025-08-22 14:26:45,lumayan
Mitra Andika,5,2025-08-22 14:22:55,optimalkan lagi fitur frame gen
Maulana Zakki Ibrahim F,5,2025-08-22 13:42:53,"Peak gameplay, Peak character, Peak Story, Peak Gacha, Peak QoL, all about this game is Peak. Meskipun di HP agak berat, secara keseluruhan udah bagus sih."
Mnur Rosyid,5,2025-08-22 13:24:49,seru
Adi Riyadi,5,2025-08-22 13:13:24,please add Indonesia
Sung Jin-woo,5,2025-08-22 09:22:54,bagus
Saif Ahmad,5,2025-08-22 07:09:40,"Combat nya asik, kompleks tpi masi bisa dipahami. Mobilitas eksplorasi gampang, bisa terbang, ama sprint (kecuali huanglong). tollong sistem echo ny di bikin lebih kompleks plis, bisa di spawn lebih lama ato gimana kek ulti ny prolova, ato di bikin quest harian kusus buat echo kerja kek pal world, jadi echo lebih berguna Dunia terbuka yang luas dan banyak konten Gacha yang dianggap cukup ramah"
Gerald Vincent,4,2025-08-22 05:34:21,"buat cooldown dari dash terlihat, jangan hanya tombol tapi terlihat berapa waktu cooldown yang miliki dash"
jeka agung,5,2025-08-22 05:32:27,"Main kembali setelah hampir 1 tahun rehat, banyak perubahan ternyata mulai dari grafis yang makin kinclong, bansos yang kencang, main story yang ternyata keren ditambah waifunya yang tiap update cakep"". Glad to be back 😌"
tarr,4,2025-08-22 00:35:56,"segi grafik, gameplay, story nya juga sudah bagus, namun penyimpanan nya sangat besar sehingga sulit untuk memainkan permainan ini. Semoga update selanjutnya akan ada fitur hapus data quest yg sudah tidak diperlukan lagi, demi kenyamanan bermain semua org, secara kalau di lihat untuk update sekarang, itu banyak org² yang berhenti bermain karena device yg tidak mumpuni untuk bermain wuwa. tolong developer, perhatikan persoalan ini.."
Veldanava Great Of Saga,5,2025-08-21 22:16:44,Game Open World Paling Bagus lebih bagus dari GI
Ada Deh,5,2025-08-21 22:01:35,"Literally the best game i would give 10 stars if i can, also next banner is insane they making such a good character i can't stop wanting to get each of the new character, im exhausted lol"
Hendry Putra,5,2025-08-21 18:22:37,Incredible game
Riki Setiawan,1,2025-08-21 14:09:08,masih gak kuat untuk hp spek rendah
Muhammad Fikri,1,2025-08-21 13:12:45,"tidak adanya pvp,jadi tidak seru dan tidak bisa menikmati skill,lawan monster2 mulu,bosnlah"
Cicho Eka permana,5,2025-08-21 11:52:38,pernah main game ini dan ya patah patah sumpah jadi gak enak mainnya tapi tetap saya kasih bintang lima karena saya yakin kuro akan mempertimbangkan game ini lagi untuk chipset kentang seperti saya karena saya sudah malas main game Honkai Star Rail selalu rate off di pity 80 90 Mulu dan juga ngelag nya ganggu
Reyner,5,2025-08-21 10:55:34,"keren game nya kembangin terus ya,apalagi yang saya suka itu Abby nya lucu"
Tubagus Sujai,5,2025-08-21 10:49:26,Make the game can be play in ps4/PlayStation I want to play it on console
Sevin Pn,1,2025-08-21 10:46:26,tolong jangan spam drop echo dengan main stat def%
Febian Vieri,5,2025-08-21 06:56:49,good
Davin Prasetyo,5,2025-08-21 02:44:33,"GAME JELEK , GA MENDIDIK."
Soni Soni,5,2025-08-21 02:39:48,mintolong keluarin lagi Augusta plisssss
Muhammad Ikrxr,5,2025-08-21 01:52:52,keren pokoknya!
